apple,SMA30,SMA100
80.948952,,
80.739334,,
82.21048,,
81.902557,,
81.339699,,
82.489952,,
83.431915,,
83.75927,,
83.528938,,
84.865509,,
85.363655,,
85.010437,,
83.58847,,
82.673691,,
83.506935,,
83.39827,,
83.488853,,
83.199013,,
82.338593,,
82.266121,,
81.76796,,
81.840439,,
82.329529,,
83.307701,,
84.168129,,
84.702461,,
84.666267,,
85.164391,,
86.921494,,
86.359947,83.3759654,
86.396164,83.55753913333334,
86.079193,83.73553443333334,
86.24221,83.86992543333334,
87.356232,84.0517146,
86.332787,84.21815086666668,
85.843697,84.32994236666667,
84.313034,84.359313,
85.526695,84.41822716666667,
85.082901,84.47002593333333,
85.789352,84.5008207,
88.026482,84.5895816,
87.881531,84.68528473333335,
88.461205,84.84770923333332,
89.683922,85.0813836,
89.104279,85.26796173333334,
88.895943,85.4512175,
86.586395,85.5544689,
87.066406,85.683382,
86.577316,85.82467276666668,
86.151657,85.95419063333334,
86.006714,86.09548243333333,
85.997597,86.23405436666667,
86.234283,86.36421283333333,
87.372047,86.49969103333333,
87.353836,86.60588126666667,
88.509834,86.7327937,
88.746475,86.86880063333334,
89.183418,87.0027682,
90.257462,87.11396713333333,
91.504433,87.28545000000001,
91.540871,87.45694023333334,
91.549965,87.63929929999999,
92.223526,87.8386765,
92.42379,88.00759509999999,
91.832115,88.19090603333333,
92.9608,88.42814279999999,
93.070038,88.72004293333333,
93.297585,88.97907260000001,
94.025787,89.2771688,
90.05722,89.41943106666668,
89.310822,89.4622424,
90.084518,89.5356753,
89.529274,89.5712776,
89.19249,89.55489653333333,
91.932259,89.64916253333332,
92.323639,89.76341906666667,
92.533028,89.96164016666667,
92.505692,90.1429497,
91.804832,90.31720023333332,
92.460182,90.5274844,
92.651321,90.7489713,
91.895859,90.94558003333333,
91.986862,91.13733266666667,
93.425018,91.33909836666668,
92.614929,91.51446813333334,
89.083282,91.53358306666668,
91.70472,91.63219123333333,
91.122177,91.69681653333333,
91.70472,91.74505846666666,
90.275642,91.70409876666666,
90.931023,91.6837705,
90.676155,91.6546435,
90.676155,91.60306446666667,
89.884239,91.51841276666667,
91.750206,91.51568246666666,
91.950462,91.48200453333334,
91.686493,91.43588636666665,
90.849098,91.35427013333333,
89.884239,91.21621853333333,
88.782898,91.17374113333332,87.78036393000001
87.617805,91.11730723333334,87.84705246
88.901215,91.0778638,87.92867127
90.803581,91.1203407,88.01460228
93.270294,91.25626749999999,88.12827965000001
93.743599,91.3166455,88.25231864999999
95.418404,91.41980433333333,88.38160317
95.773392,91.52781646666668,88.50501794
95.673256,91.63340193333333,88.6241578
97.156906,91.8118044,88.76043748000001
97.703041,91.98656636666666,88.8888128
97.375374,92.14403480000001,89.00892999000001
98.30378,92.35763216666666,89.14186342
99.57811,92.61067376666666,89.30175981999999
98.849945,92.79150466666667,89.46352235999998
99.086578,93.0072263,89.61931879
99.369965,93.35011573333333,89.77903574
99.653374,93.61507086666667,89.94068094999999
99.488838,93.89395956666665,90.1035792
100.284142,94.17994030000001,90.28303469000001
101.701088,94.5607885,90.47738436
103.136337,94.9676323,90.69106813
104.379631,95.42441483333333,90.91646005000001
104.20594,95.87540766666666,91.13522415999999
105.558899,96.39789633333334,91.35773614
104.827576,96.83380866666667,91.56433061
106.326782,97.31301933333333,91.78057381999999
106.473061,97.80590493333334,91.99864176
108.447662,98.39252373333333,92.23147447000001
107.506065,98.97991793333334,92.43732018
108.785904,99.6466848,92.66157975
108.721893,100.3501544,92.88483704000001
105.193222,100.89322130000001,93.07597733
104.790977,101.35946783333333,93.261465
105.979401,101.78310473333333,93.44769668999999
105.577171,102.17755713333332,93.64014053000001
105.129219,102.50125096666667,93.83299575000001
102.752403,102.73388466666667,94.01738943999999
104.324753,103.0222679,94.20537001999999
102.341011,103.1950714,94.37795111999999
102.039368,103.33961563333334,94.54045128
100.311569,103.4374888,94.66330214999999
98.940338,103.45870740000001,94.77389022
97.587341,103.39234843333334,94.86515158
100.019043,103.43131836666667,94.96850279
102.980919,103.56112973333332,95.10726919000001
102.185616,103.65498476666667,95.24016592
103.246056,103.77474083333333,95.40676253
102.880394,103.8877927,95.56490241000002
102.395844,103.95818276666665,95.72308769
104.20594,104.04167783333332,95.90363052
104.132797,104.07489316666667,96.08489134999999
102.862099,104.02430876666666,96.25353637
100.905785,103.9143036,96.40025139
99.945885,103.72720313333333,96.52598977
97.130241,103.4706253,96.62375382
97.13942,103.16437990000001,96.71004968
98.501518,102.89866179999999,96.80760011000001
102.286186,102.69327926666666,96.93862779
102.395844,102.52293856666667,97.06001161
99.872757,102.22583366666666,97.14369484999999
100.759514,101.96042103333335,97.23588128
100.375572,101.7998327,97.32413735
97.651314,101.56184393333334,97.37841523000002
96.892563,101.25894933333333,97.42310296
99.38829,101.0526533,97.49866471000001
100.147011,100.8865797,97.57052682
102.752403,100.8865797,97.66735047
103.282608,100.85184153333333,97.76720069999999
103.392311,100.88688486666666,97.86086594
99.772209,100.8113129,97.95801583000001
105.412628,100.98134819999999,98.11903389000001
108.694481,101.30648629999999,98.30513352
107.103836,101.6237028,98.48087914
108.447662,101.90465676666666,98.67343086
108.465935,102.08749063333333,98.83876762
109.297836,102.32456463333332,99.00850958999999
110.077942,102.55229416666666,99.18395873
109.150978,102.76131363333334,99.35041159000001
109.876022,103.0106529,99.53112348999998
111.9869,103.27001823333333,99.72639067
114.611763,103.6193171,99.94599509
116.061844,104.0593086,100.18765493999999
116.630859,104.58347773333334,100.43409491
117.319191,105.16258793333333,100.67303663999999
